Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
||4|k|.2.|(x,0,1/2)|(-x,0,1/2)|(0,-x,1/2)|(0,x,1/2)
||4|j|.2.|(x,1/2,1/2)|(-x,1/2,1/2)|(1/2,-x,1/2)|(1/2,x,1/2)
||4|i|.2.|(x,0,0)|(-x,0,0)|(0,-x,0)|(0,x,0)
||2|h|2.mm|(1/2,1/2,z)|(1/2,1/2,-z)||
||2|g|2.mm|(0,0,z)|(0,0,-z)||
||2|f|222|(1/2,0,1/2)|(0,1/2,1/2)||
||2|e|222|(1/2,0,0)|(0,1/2,0)||
||1|d|-42m|(1/2,1/2,0)|||
||1|c|-42m|(0,0,1/2)|||
||1|b|-42m|(1/2,1/2,1/2)|||
||1|a|-42m|(0,0,0)|||
P -4 2 c|389|||||||
||8|n|1|(x,y,z)|(-x,-y,z)|(y,-x,-z)|(-y,x,-z)
|||||(-x,y,-z+1/2)|(x,-y,-z+1/2)|(-y,-x,z+1/2)|(y,x,z+1/2)
||4|m|2..|(0,1/2,z)|(1/2,0,-z)|(0,1/2,-z+1/2)|(1/2,0,z+1/2)
||4|l|2..|(1/2,1/2,z)|(1/2,1/2,-z)|(1/2,1/2,-z+1/2)|(1/2,1/2,z+1/2)
||4|k|2..|(0,0,z)|(0,0,-z)|(0,0,-z+1/2)|(0,0,z+1/2)
||4|j|.2.|(0,y,1/4)|(0,-y,1/4)|(y,0,3/4)|(-y,0,3/4)
||4|i|.2.|(x,1/2,1/4)|(-x,1/2,1/4)|(1/2,-x,3/4)|(1/2,x,3/4)
||4|h|.2.|(1/2,y,1/4)|(1/2,-y,1/4)|(y,1/2,3/4)|(-y,1/2,3/4)
||4|g|.2.|(x,0,1/4)|(-x,0,1/4)|(0,-x,3/4)|(0,x,3/4)
||2|f|-4..|(1/2,1/2,0)|(1/2,1/2,1/2)||
||2|e|-4..|(0,0,0)|(0,0,1/2)||
||2|d|222|(0,1/2,1/4)|(1/2,0,3/4)||
||2|c|222|(1/2,1/2,1/4)|(1/2,1/2,3/4)||
||2|b|222|(1/2,0,1/4)|(0,1/2,3/4)||
||2|a|222|(0,0,1/4)|(0,0,3/4)||
P -4 21 m|390|||||||
||8|f|1|(x,y,z)|(-x,-y,z)|(y,-x,-z)|(-y,x,-z)
|||||(-x+1/2,y+1/2,-z)|(x+1/2,-y+1/2,-z)|(-y+1/2,-x+1/2,z)|(y+1/2,x+1/2,z)
||4|e|..m|(x,x+1/2,z)|(-x,-x+1/2,z)|(x+1/2,-x,-z)|(-x+1/2,x,-z)
||4|d|2..|(0,0,z)|(0,0,-z)|(1/2,1/2,-z)|(1/2,1/2,z)
