Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
||6|a|1|(x,y,z)|(-y,x-y,z+1/3)|(-x+y,-x,z+2/3)|(-x,-y,z+1/2)
|||||(y,-x+y,z+5/6)|(x-y,x,z+1/6)||
P 65|464|||||||
||6|a|1|(x,y,z)|(-y,x-y,z+2/3)|(-x+y,-x,z+1/3)|(-x,-y,z+1/2)
|||||(y,-x+y,z+1/6)|(x-y,x,z+5/6)||
P 62|465|||||||
||6|c|1|(x,y,z)|(-y,x-y,z+2/3)|(-x+y,-x,z+1/3)|(-x,-y,z)
|||||(y,-x+y,z+2/3)|(x-y,x,z+1/3)||
||3|b|2..|(1/2,1/2,z)|(1/2,0,z+2/3)|(0,1/2,z+1/3)|
||3|a|2..|(0,0,z)|(0,0,z+2/3)|(0,0,z+1/3)|
P 64|466|||||||
||6|c|1|(x,y,z)|(-y,x-y,z+1/3)|(-x+y,-x,z+2/3)|(-x,-y,z)
|||||(y,-x+y,z+1/3)|(x-y,x,z+2/3)||
||3|b|2..|(1/2,1/2,z)|(1/2,0,z+1/3)|(0,1/2,z+2/3)|
||3|a|2..|(0,0,z)|(0,0,z+1/3)|(0,0,z+2/3)|
P 63|467|||||||
||6|c|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(-x,-y,z+1/2)
|||||(y,-x+y,z+1/2)|(x-y,x,z+1/2)||
||2|b|3..|(1/3,2/3,z)|(2/3,1/3,z+1/2)||
||2|a|3..|(0,0,z)|(0,0,z+1/2)||
P -6|468|||||||
||6|l|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(x,y,-z)
|||||(-y,x-y,-z)|(-x+y,-x,-z)||
||3|k|m..|(x,y,1/2)|(-y,x-y,1/2)|(-x+y,-x,1/2)|
||3|j|m..|(x,y,0)|(-y,x-y,0)|(-x+y,-x,0)|
||2|i|3..|(2/3,1/3,z)|(2/3,1/3,-z)||
||2|h|3..|(1/3,2/3,z)|(1/3,2/3,-z)||
||2|g|3..|(0,0,z)|(0,0,-z)||
||1|f|-6..|(2/3,1/3,1/2)|||
||1|e|-6..|(2/3,1/3,0)|||
||1|d|-6..|(1/3,2/3,1/2)|||
||1|c|-6..|(1/3,2/3,0)|||
||1|b|-6..|(0,0,1/2)|||
||1|a|-6..|(0,0,0)|||
P 6/m|469|||||||
||12|l|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(-x,-y,z)
|||||(y,-x+y,z)|(x-y,x,z)|(-x,-y,-z)|(y,-x+y,-z)
|||||(x-y,x,-z)|(x,y,-z)|(-y,x-y,-z)|(-x+y,-x,-z)
||6|k|m..|(x,y,1/2)|(-y,x-y,1/2)|(-x+y,-x,1/2)|(-x,-y,1/2)
|||||(y,-x+y,1/2)|(x-y,x,1/2)||
||6|j|m..|(x,y,0)|(-y,x-y,0)|(-x+y,-x,0)|(-x,-y,0)
|||||(y,-x+y,0)|(x-y,x,0)||
||6|i|2..|(1/2,0,z)|(0,1/2,z)|(1/2,1/2,z)|(1/2,0,-z)
|||||(0,1/2,-z)|(1/2,1/2,-z)||
||4|h|3..|(1/3,2/3,z)|(2/3,1/3,z)|(2/3,1/3,-z)|(1/3,2/3,-z)
||3|g|2/m..|(1/2,0,1/2)|(0,1/2,1/2)|(1/2,1/2,1/2)|
||3|f|2/m..|(1/2,0,0)|(0,1/2,0)|(1/2,1/2,0)|
||2|e|6..|(0,0,z)|(0,0,-z)||
||2|d|-6..|(1/3,2/3,1/2)|(2/3,1/3,1/2)||
||2|c|-6..|(1/3,2/3,0)|(2/3,1/3,0)||
||1|b|6/m..|(0,0,1/2)|||
||1|a|6/m..|(0,0,0)|||
P 63/m|470|||||||
||12|i|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(-x,-y,z+1/2)
|||||(y,-x+y,z+1/2)|(x-y,x,z+1/2)|(-x,-y,-z)|(y,-x+y,-z)
|||||(x-y,x,-z)|(x,y,-z+1/2)|(-y,x-y,-z+1/2)|(-x+y,-x,-z+1/2)
||6|h|m..|(x,y,1/4)|(-y,x-y,1/4)|(-x+y,-x,1/4)|(-x,-y,3/4)
|||||(y,-x+y,3/4)|(x-y,x,3/4)||
||6|g|-1|(1/2,0,0)|(0,1/2,0)|(1/2,1/2,0)|(1/2,0,1/2)
|||||(0,1/2,1/2)|(1/2,1/2,1/2)||
||4|f|3..|(1/3,2/3,z)|(2/3,1/3,z+1/2)|(2/3,1/3,-z)|(1/3,2/3,-z+1/2)
||4|e|3..|(0,0,z)|(0,0,z+1/2)|(0,0,-z)|(0,0,-z+1/2)
||2|d|-6..|(2/3,1/3,1/4)|(1/3,2/3,3/4)||
||2|c|-6..|(1/3,2/3,1/4)|(2/3,1/3,3/4)||
||2|b|-3..|(0,0,0)|(0,0,1/2)||
||2|a|-6..|(0,0,1/4)|(0,0,3/4)||
P 6 2 2|471|||||||
||12|n|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(-x,-y,z)
|||||(y,-x+y,z)|(x-y,x,z)|(y,x,-z)|(x-y,-y,-z)
|||||(-x,-x+y,-z)|(-y,-x,-z)|(-x+y,y,-z)|(x,x-y,-z)
||6|m|..2|(x,-x,1/2)|(x,2x,1/2)|(-2x,-x,1/2)|(-x,x,1/2)
|||||(-x,-2x,1/2)|(2x,x,1/2)||
||6|l|..2|(x,-x,0)|(x,2x,0)|(-2x,-x,0)|(-x,x,0)
|||||(-x,-2x,0)|(2x,x,0)||
||6|k|.2.|(x,0,1/2)|(0,x,1/2)|(-x,-x,1/2)|(-x,0,1/2)
|||||(0,-x,1/2)|(x,x,1/2)||
||6|j|.2.|(x,0,0)|(0,x,0)|(-x,-x,0)|(-x,0,0)
|||||(0,-x,0)|(x,x,0)||
||6|i|2..|(1/2,0,z)|(0,1/2,z)|(1/2,1/2,z)|(0,1/2,-z)
|||||(1/2,0,-z)|(1/2,1/2,-z)||
||4|h|3..|(1/3,2/3,z)|(2/3,1/3,z)|(2/3,1/3,-z)|(1/3,2/3,-z)
||3|g|222|(1/2,0,1/2)|(0,1/2,1/2)|(1/2,1/2,1/2)|
||3|f|222|(1/2,0,0)|(0,1/2,0)|(1/2,1/2,0)|
||2|e|6..|(0,0,z)|(0,0,-z)||
||2|d|3.2|(1/3,2/3,1/2)|(2/3,1/3,1/2)||
||2|c|3.2|(1/3,2/3,0)|(2/3,1/3,0)||
||1|b|622|(0,0,1/2)|||
||1|a|622|(0,0,0)|||
P 61 2 2|472|||||||
||12|c|1|(x,y,z)|(-y,x-y,z+1/3)|(-x+y,-x,z+2/3)|(-x,-y,z+1/2)
|||||(y,-x+y,z+5/6)|(x-y,x,z+1/6)|(y,x,-z+1/3)|(x-y,-y,-z)
|||||(-x,-x+y,-z+2/3)|(-y,-x,-z+5/6)|(-x+y,y,-z+1/2)|(x,x-y,-z+1/6)
||6|b|..2|(x,2x,1/4)|(-2x,-x,7/12)|(x,-x,11/12)|(-x,-2x,3/4)
|||||(2x,x,1/12)|(-x,x,5/12)||
||6|a|.2.|(x,0,0)|(0,x,1/3)|(-x,-x,2/3)|(-x,0,1/2)
|||||(0,-x,5/6)|(x,x,1/6)||
P 65 2 2|473|||||||
||12|c|1|(x,y,z)|(-y,x-y,z+2/3)|(-x+y,-x,z+1/3)|(-x,-y,z+1/2)
|||||(y,-x+y,z+1/6)|(x-y,x,z+5/6)|(y,x,-z+2/3)|(x-y,-y,-z)
|||||(-x,-x+y,-z+1/3)|(-y,-x,-z+1/6)|(-x+y,y,-z+1/2)|(x,x-y,-z+5/6)
||6|b|..2|(x,2x,3/4)|(-2x,-x,5/12)|(x,-x,1/12)|(-x,-2x,1/4)
|||||(2x,x,11/12)|(-x,x,7/12)||
||6|a|.2.|(x,0,0)|(0,x,2/3)|(-x,-x,1/3)|(-x,0,1/2)
|||||(0,-x,1/6)|(x,x,5/6)||
P 62 2 2|474|||||||
||12|k|1|(x,y,z)|(-y,x-y,z+2/3)|(-x+y,-x,z+1/3)|(-x,-y,z)
|||||(y,-x+y,z+2/3)|(x-y,x,z+1/3)|(y,x,-z+2/3)|(x-y,-y,-z)
|||||(-x,-x+y,-z+1/3)|(-y,-x,-z+2/3)|(-x+y,y,-z)|(x,x-y,-z+1/3)
||6|j|..2|(x,2x,1/2)|(-2x,-x,1/6)|(x,-x,5/6)|(-x,-2x,1/2)
|||||(2x,x,1/6)|(-x,x,5/6)||
||6|i|..2|(x,2x,0)|(-2x,-x,2/3)|(x,-x,1/3)|(-x,-2x,0)
|||||(2x,x,2/3)|(-x,x,1/3)||
||6|h|.2.|(x,0,1/2)|(0,x,1/6)|(-x,-x,5/6)|(-x,0,1/2)
|||||(0,-x,1/6)|(x,x,5/6)||
||6|g|.2.|(x,0,0)|(0,x,2/3)|(-x,-x,1/3)|(-x,0,0)
|||||(0,-x,2/3)|(x,x,1/3)||
||6|f|2..|(1/2,0,z)|(0,1/2,z+2/3)|(1/2,1/2,z+1/3)|(0,1/2,-z+2/3)
|||||(1/2,0,-z)|(1/2,1/2,-z+1/3)||
||6|e|2..|(0,0,z)|(0,0,z+2/3)|(0,0,z+1/3)|(0,0,-z+2/3)
|||||(0,0,-z)|(0,0,-z+1/3)||
||3|d|222|(1/2,0,1/2)|(0,1/2,1/6)|(1/2,1/2,5/6)|
||3|c|222|(1/2,0,0)|(0,1/2,2/3)|(1/2,1/2,1/3)|
||3|b|222|(0,0,1/2)|(0,0,1/6)|(0,0,5/6)|
||3|a|222|(0,0,0)|(0,0,2/3)|(0,0,1/3)|
P 64 2 2|475|||||||
||12|k|1|(x,y,z)|(-y,x-y,z+1/3)|(-x+y,-x,z+2/3)|(-x,-y,z)
|||||(y,-x+y,z+1/3)|(x-y,x,z+2/3)|(y,x,-z+1/3)|(x-y,-y,-z)
|||||(-x,-x+y,-z+2/3)|(-y,-x,-z+1/3)|(-x+y,y,-z)|(x,x-y,-z+2/3)
||6|j|..2|(x,2x,1/2)|(-2x,-x,5/6)|(x,-x,1/6)|(-x,-2x,1/2)
|||||(2x,x,5/6)|(-x,x,1/6)||
